Rk,Player,Age,Team,Lg,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards
378,Blake Perkins#,28,MIL,NL,0.3,54,171,155,25,35,6,2,3,19,7,2,15,47,0.226,0.298,0.348,0.647,80,0.296,80,54,4,1,0,0,0,8/HD,
379,Hyeseong Kim*,26,LAD,NL,1.7,71,170,161,19,45,6,1,3,17,13,1,7,52,0.28,0.314,0.385,0.699,96,0.335,102,62,0,1,1,0,0,4H86,
380,José Tena*,24,WSN,NL,0.3,50,169,152,19,37,13,2,0,16,3,1,15,37,0.243,0.314,0.355,0.669,90,0.297,87,54,4,1,0,1,0,5/4HD,
381,Yohel Pozo,28,STL,NL,0.2,67,168,160,16,37,8,0,5,19,0,0,7,22,0.231,0.262,0.375,0.637,78,0.281,77,60,4,0,0,1,0,2H/3D,
382,Heston Kjerstad*,26,BAL,AL,-1.6,54,167,156,16,30,5,2,4,19,1,0,6,45,0.192,0.24,0.327,0.566,58,0.253,56,51,9,4,0,1,0,79/HD,
383,Thairo Estrada,29,COL,NL,-0.4,39,165,154,14,39,9,0,3,21,1,3,6,26,0.253,0.285,0.37,0.655,74,0.286,72,57,6,2,0,3,0,4,
384,Martín Maldonado,38,SDP,NL,-0.2,64,161,147,11,30,6,0,4,12,0,0,8,57,0.204,0.245,0.327,0.572,58,0.258,55,48,3,0,6,0,0,2,
385,Austin Slater,32,2TM,AL,-0.1,65,160,148,22,32,6,1,5,13,1,0,11,51,0.216,0.27,0.372,0.642,78,0.289,79,55,6,0,1,0,0,79H/D813,
385,Austin Slater,32,CHW,AL,0.3,51,135,123,20,29,6,1,5,11,1,0,11,35,0.236,0.299,0.423,0.721,100,0.316,99,52,5,0,1,0,0,H97/D83,
385,Austin Slater,32,NYY,AL,-0.4,14,25,25,2,3,0,0,0,2,0,0,0,16,0.12,0.12,0.12,0.24,-33,0.142,-26,3,1,0,0,0,0,/79H1,
386,Denzel Clarke,25,ATH,AL,0.9,47,159,148,18,34,8,2,3,8,6,0,6,61,0.23,0.274,0.372,0.646,76,0.285,63,55,1,3,2,0,0,8/H,
387,David Fry,29,CLE,AL,-0.8,66,157,146,16,25,4,0,8,23,1,0,9,58,0.171,0.229,0.363,0.592,62,0.256,55,53,3,2,0,0,0,DH,
388,Kyle Karros,22,COL,NL,0,43,156,137,20,31,4,0,1,9,0,0,15,41,0.226,0.308,0.277,0.585,59,0.274,58,38,5,2,0,2,0,5/DH,
389,Dalton Rushing*,24,LAD,NL,0.2,53,155,142,15,29,5,0,4,24,0,0,10,58,0.204,0.258,0.324,0.582,63,0.263,61,46,1,1,0,2,0,2/H3D,
390,Jhonkensy Noel,23,CLE,AL,-1.4,69,153,148,19,24,2,0,6,13,0,0,4,52,0.162,0.183,0.297,0.48,31,0.211,23,44,4,0,0,1,0,9H/37D,
391,Alan Roden*,25,2TM,AL,-0.6,55,153,136,17,26,6,1,2,9,1,1,8,37,0.191,0.261,0.294,0.556,53,0.244,46,40,0,6,0,3,0,79/H8,
391,Alan Roden*,25,TOR,AL,-0.1,43,113,98,12,20,5,1,1,8,0,1,8,24,0.204,0.283,0.306,0.589,62,0.256,55,30,0,4,0,3,0,79/H8,
